Regcode;Region;FO;PMI.2015;GRPpc.2015;RTT.2015;ECB.2014;NSB.2015
1000;Российская Федерация;NA;30467;443950,7;188017;1191,6;2222372
1001;Центральный федеральный округ;ЦФО;38767;581991,6;237737;417347,9;643037
31;Белгородская область;ЦФО;28331;443086,2;178097;7104,2;21222
32;Брянская область;ЦФО;25362;219575,8;177048;7682,5;12435
33;Владимирская область;ЦФО;23729;255398,6;139408;8238,9;20022
36;Воронежская область;ЦФО;29922;352926;198814;11588,4;32932
37;Ивановская область;ЦФО;22556;165496,3;143349;6416,3;18280
40;Калужская область;ЦФО;27703;331468,3;167204;6470,6;13501
44;Костромская область;ЦФО;22442;241539;131002;4579,3;9344
46;Курская область;ЦФО;25801;299723,7;160712;7316,1;11198
48;Липецкая область;ЦФО;27665;395476,5;186603;6460,9;13484
50;Московская область;ЦФО;37702;441778,2;237152;67348,7;85465
57;Орловская область;ЦФО;22829;269862,2;150709;4339,4;8412
62;Рязанская область;ЦФО;24226;279032,6;148687;6747,2;17068
67;Смоленская область;ЦФО;24757;267334,9;163628;5850,8;14039
68;Тамбовская область;ЦФО;25089;326479,9;172696;5903,9;9604
69;Тверская область;ЦФО;23454;260478,4;161161;9806,7;17821
71;Тульская область;ЦФО;26290;315660,1;167802;8948,2;21062
76;Ярославская область;ЦФО;27363;339699,5;160850;9353,3;21995
77;г. Москва;ЦФО;59850;1103453,3;351448;233192,5;295153
1002;Северо-Западный федеральный округ;СЗФО;32329;490312,1;187811;123183,9;294051
10;Республика Карелия;СЗФО;25717;334493,5;164576;7109,2;12635
11;Республика Коми;СЗФО;32545;607941,9;174886;8824,9;12190
83;Ненецкий автономный округ;СЗФО;31114;4990259,7;192201;12945,9;433
29;Архангельская область ;СЗФО;25582;351973;194345;11147,9;13660
35;Вологодская область;СЗФО;25875;394135,5;132285;5045,3;18925
39;Калининградская область;СЗФО;24747;337989,9;145944;10522,7;27014
47;Ленинградская область;СЗФО;36848;480298;175173;9611,2;17559
51;Мурманская область;СЗФО;25773;510830;201079;5246,8;10673
53;Новгородская область;СЗФО;21710;389441,8;173380;5402,6;7343
60;Псковская область;СЗФО;39935;204768,6;156702;46380,2;8016
78;г. Санкт-Петербург;СЗФО;27008;580562,9;219750;947,2;165603
1003;Южный федеральный округ;ЮФО;22646;281056,8;185238;78858,1;200250
1;Республика Адыгея;ЮФО;14230;183386,5;162621;2399,6;4179
8;Республика Калмыкия;ЮФО;15658;169111,1;64025;1399,3;1762
23;Краснодарский край;ЮФО;31375;355017,1;211644;25017,1;81783
30;Астраханская область;ЮФО;24057;314459,6;170883;6084,2;10266
34;Волгоградская область;ЮФО;21719;288161,9;135950;15600,3;31413
61;Ростовская область;ЮФО;26558;276426,8;194599;28357,6;47947
1004;Северо-Кавказский федеральный округ;СКФО;23024;175912,4;155172;50398,9;49604
5;Республика Дагестан;СКФО;26738;186370,4;205890;10630,9;4640
6;Республика Ингушетия ;СКФО;14713;116007,9;46598;2820,1;2946
7;Кабардино-Балкарская Республика;СКФО;19102;145555,1;131108;3867,3;4084
9;Карачаево-Черкесская Республика;СКФО;17268;143789,5;74891;2901,5;2947
15;Республика Северная Осетия – Алания;СКФО;22003;181039,9;144655;2691,6;4749
20;Чеченская Республика ;СКФО;22917;116119,8;106136;11071,2;4145
26;Ставропольский край;СКФО;22969;217648,4;166622;16416,3;26093
1005;Приволжский федеральный округ;ПФО;26287;333935,5;164339;191658,9;425029
2;Республика Башкортостан;ПФО;27730;323572;192720;18870,2;46436
12;Республика Марий Эл;ПФО;18513;241070,5;111526;3504,8;9650
13;Республика Мордовия;ПФО;17855;231878,3;96377;5576,5;6406
16;Республика Татарстан;ПФО;32155;474694,5;200999;19646,2;70829
18;Удмуртская Республика;ПФО;24454;328003,1;136441;7682,8;23548
21;Чувашская Республика;ПФО;18289;202375,2;110509;7307,2;15219
59;Пермский край;ПФО;32043;397621,4;181373;17721,3;57998
43;Кировская область;ПФО;22149;212548,3;134426;9586;22899
52;Нижегородская область;ПФО;30839;327474,2;191452;24752,9;41451
56;Оренбургская область;ПФО;22954;387829,7;139328;13144,3;19328
58;Пензенская область;ПФО;21819;248853,4;141527;9026,3;15028
63;Самарская область;ПФО;27739;386473,7;183836;28501,3;54092
64;Саратовская область;ПФО;20075;247963,4;126139;17266,3;25943
73;Ульяновская область;ПФО;22779;239209,8;134072;9072,8;16202
1006;Уральский федеральный округ;УФО;32880;730594;202089;113371,8;208576
45;Курганская область;УФО;20581;207554,2;122152;6818,2;7437
66;Свердловская область;УФО;34805;411077,3;239283;32756,7;87342
86;Ханты-Мансийский автономный округ – Югра;УФО;44507;1937015,5;229048;14732,4;21248
89;Ямало-Ненецкий автономный округ;УФО;66795;3376613,1;245559;20001;4140
72;Тюменская область ;УФО;28937;624683,2;226531;22930,6;31312
74;Челябинская область;УФО;24578;334471,3;146636;16132,9;57097
1007;Сибирский федеральный округ;СФО;23569;349512,9;141859;144644,5;296914
4;Республика Алтай;СФО;18254;194825,4;100956;1676,2;2882
3;Республика Бурятия;СФО;25480;208239,8;165812;7141,1;10812
17;Республика Тыва;СФО;15246;150258,3;68576;2231,6;1274
19;Республика Хакасия;СФО;20789;320095,8;137261;2930,7;6265
22;Алтайский край;СФО;20985;206712,2;134925;14023,7;32613
75;Забайкальский край;СФО;22980;229303,6;135400;8583,4;7424
24;Красноярский край;СФО;27102;565272,3;165372;31543,7;46659
38;Иркутская область;СФО;22445;419885,1;120490;16907,9;34231
42;Кемеровская область;СФО;21827;309637,3;126178;18382,7;30678
54;Новосибирская область;СФО;24176;356086,5;161317;19323,3;78704
55;Омская область;СФО;25839;311973,3;155026;14185,9;27300
70;Томская область;СФО;24846;440395,6;124791;7714,3;18072
1008;Дальневосточный федеральный округ;ДФО;36275;572242,7;191617;72014,7;104810
14;Республика Саха (Якутия);ДФО;37805;782629,4;196688;15277,7;11699
41;Камчатский край;ДФО;41029;542797,4;159247;6208,4;6092
25;Приморский край;ДФО;32983;371098,6;176963;14887,4;38778
27;Хабаровский край;ДФО;36621;427651;203200;14214,9;26266
28;Амурская область;ДФО;30197;342762,6;182491;9752,8;8801
49;Магаданская область;ДФО;50173;846400,3;187765;2111,4;2539
65;Сахалинская область;ДФО;49585;1699932,7;272527;6525,7;8763
79;Еврейская автономная область;ДФО;24427;268310,6;133748;1568,2;1525
87;Чукотский автономный округ;ДФО;61640;1269343,9;119335;1468,2;347
